CODE,NAME,ISO3166-2,NUTS,AREA,POP2000,POP2014,FROM,FROMDATE,METROPOL,METROPOLDATE
1,Adana,TR-01,TR621,14045.56,1854270,2165595,NA,NA,1,1986
2,Adıyaman,TR-02,TRC12,7606.16,623811,597835,NA,NA,0,NA
3,Afyonkarahisar,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
4,Ağrı,TR-04,TRA21,11498.67,528744,549435,NA,NA,0,NA
68,Aksaray,TR-68,TR712,7965.51,396084,384252,Nigde,06/15/89,0,NA
5,Amasya,TR-05,TR834,5703.78,365231,321913,NA,NA,0,NA
6,Ankara,TR-06,TR510,25401.94,4007860,5150072,NA,NA,1,1984
7,Antalya,TR-07,TR611,20790.56,1719751,2222562,NA,NA,1,1992
75,Ardahan,TR-75,TRA24,4967.63,133756,100809,Kars,05/27/92,0,NA
8,Artvin,TR-08,TR905,7367.1,191934,169674,NA,NA,0,NA
9,Aydın,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
10,Balıkesir,TR-10,TR221,14472.73,1076347,1189057,NA,NA,1,2013
74,Bartın,TR-74,TR813,2080.36,184178,189405,Zonguldak,09/07/91,0,NA
72,Batman,TR-72,TRC32,4659.21,456734,557593,Siirt,05/16/90,0,NA
69,Bayburt,TR-69,TRA13,3739.08,97358,80607,Gumushane,06/21/89,0,NA
11,Bilecik,TR-11,TR413,4306.77,194326,209925,NA,NA,0,NA
12,Bingöl,TR-12,TRB13,8253.51,253739,266019,NA,NA,0,NA
13,Bitlis,TR-13,TRB23,7094.5,388678,338023,NA,NA,0,NA
14,Bolu,TR-14,TR424,8323.39,270654,284789,NA,NA,0,NA
15,Burdur,TR-15,TR613,7134.95,256803,256898,NA,NA,0,NA
16,Bursa,TR-16,TR411,10886.38,2125140,2787539,NA,NA,1,1987
17,Çanakkale,TR-17,TR222,9950.43,464975,511790,NA,NA,0,NA
18,Çankırı,TR-18,TR822,7491.89,270355,183550,NA,NA,0,NA
19,Çorum,TR-19,TR833,12796.21,597065,527220,NA,NA,0,NA
20,Denizli,TR-20,TR322,11804.19,950757,978700,NA,NA,1,2013
21,Diyarbakır,TR-21,TRC22,15204.01,1362708,1635048,NA,NA,1,1993
81,Düzce,TR-81,TR423,2592.95,314266,355549,Bolu,12/09/99,0,NA
22,Edirne,TR-22,TR212,6097.91,402606,400280,NA,NA,0,NA
23,Elazığ,TR-23,TRB12,9281.45,569616,568753,NA,NA,0,NA
24,Erzincan,TR-24,TRA12,11727.55,316841,223633,NA,NA,0,NA
25,Erzurum,TR-25,TRA11,25330.9,937389,763320,NA,NA,1,1993
26,Eskisehir,TR-26,TR412,13902.03,706009,812320,NA,NA,1,1993
27,Gaziantep,TR-27,TRC11,6844.84,1285249,1889466,NA,NA,1,1986
28,Giresun,TR-28,TR903,6831.58,523819,429984,NA,NA,0,NA
29,Gümüşhane,TR-29,TR906,6437.01,186953,146353,NA,NA,0,NA
30,Hakkari,TR-30,TRB24,7178.88,236581,276287,NA,NA,0,NA
31,Hatay,TR-31,TR631,5831.36,1253726,1519836,NA,NA,1,2013
76,Iğdır,TR-76,TRA23,3587.81,168634,192056,Kars,05/27/92,0,NA
32,Isparta,TR-32,TR612,8871.08,513681,418780,NA,NA,0,NA
34,Istanbul,TR-34,TR100,5315.33,10018735,14377018,NA,NA,1,1983
35,İzmir,TR-35,TR310,12015.61,3370866,4113072,NA,NA,1,1986
46,Kahramanmaraş,TR-46,TR632,14456.74,1002384,1089038,NA,NA,1,2013
78,Karabük,TR-78,TR812,4108.8,225102,231333,Zonguldak,06/10/95,0,NA
70,Karaman,TR-70,TR522,8868.9,243210,240362,Konya,06/21/89,0,NA
36,Kars,TR-36,TRA22,10139.09,325016,296466,NA,NA,0,NA
37,Kastamonu,TR-37,TR821,13157.98,375476,368907,NA,NA,0,NA
38,Kayseri,TR-38,TR721,17109.33,1060432,1322376,NA,NA,1,1988
79,Kilis,TR-79,TRC13,1427.76,114724,128781,Gaziantep,06/10/95,0,NA
71,Kırıkkale,TR-71,TR711,4569.76,383508,271092,Ankara,06/21/89,0,NA
39,Kırklareli,TR-39,TR213,6299.78,328461,343723,NA,NA,0,NA
40,Kırşehir,TR-40,TR715,6530.32,253239,222707,NA,NA,0,NA
41,Kocaeli,TR-41,TR421,3625.29,1206085,1722795,NA,NA,1,1993
42,Konya,TR-42,TR521,40813.52,2192166,2108808,NA,NA,1,1987
43,Kütahya,TR-43,TR333,12013.57,656903,571554,NA,NA,0,NA
44,Malatya,TR-44,TRB11,12102.7,853658,769544,NA,NA,1,2013
45,Manisa,TR-45,TR331,13228.5,1260169,1367905,NA,NA,1,2013
47,Mardin,TR-47,TRC31,8806.04,705098,788996,NA,NA,1,2013
33,Mersin,TR-33,TR622,15512.25,1651400,1727255,NA,NA,1,1993
48,Muğla,TR-48,TR323,12949.21,715328,894509,NA,NA,1,2013
49,Muş,TR-49,TRB22,8067.16,453654,411216,NA,NA,0,NA
50,Nevşehir,TR-50,TR714,5391.64,309914,286250,NA,NA,0,NA
51,Niğde,TR-51,TR713,7365.29,348081,343898,NA,NA,0,NA
52,Ordu,TR-52,TR902,5952.49,887765,724268,NA,NA,1,2013
80,Osmaniye,TR-80,TR633,3195.99,458782,506807,Adana,10/28/96,0,NA
53,Rize,TR-53,TR904,3921.98,365938,329779,NA,NA,0,NA
54,Sakarya,TR-54,TR422,4880.19,756168,932706,NA,NA,1,2000
55,Samsun,TR-55,TR831,9364.1,1209137,1269989,NA,NA,1,1990
63,Şanlıurfa,TR-63,TRC21,19336.21,1443422,1845667,NA,NA,1,2013
56,Siirt,TR-56,TRC34,5473.29,263676,318366,NA,NA,0,NA
57,Sinop,TR-57,TR823,5816.55,225574,204526,NA,NA,0,NA
58,Sivas,TR-58,TRC33,28567.34,755091,623116,NA,NA,0,NA
73,Şırnak,TR-73,TR722,7151.57,353197,488966,Siirt,05/15/90,0,NA
59,Tekirdağ,TR-59,TR211,6342.3,623591,906732,NA,NA,1,2013
60,Tokat,TR-60,TR832,10072.62,828027,597920,NA,NA,0,NA
61,Trabzon,TR-61,TR901,4664.04,975137,766782,NA,NA,1,2013
62,Tunceli,TR-62,TRB14,7685.66,93584,86527,NA,NA,0,NA
64,Uşak,TR-64,TR334,5363.09,322313,349459,NA,NA,0,NA
65,Van,TR-65,TRB21,19414.14,877524,1085542,NA,NA,1,2013
77,Yalova,TR-77,TR425,850.46,168593,226514,Istanbul,06/10/95,0,NA
66,Yozgat,TR-66,TR723,14074.09,682919,432560,NA,NA,0,NA
67,Zonguldak,TR-67,TR811,3309.86,615599,598796,NA,NA,0,NA
