CITY_TR,DISTRICT_TR,CITY_EN,DISTRICT_EN,CITY,DISTRICT,DISSOLVEDC,DISTRICTCODE,INSHP,CITYDATE,DISTRICTDATE,DISTRICTFROM,DISSOLVE,CENTRALOLD,CENTRALDISTRICT,DISTRICTCOUNT,CITYCODE,ISO31662,NUTS,AREA,POP2000,POP2014,FROM,FROMDATE,METROPOL,METROPOLDATE
Adana,Aladağ,Adana,Aladag,Adana,Aladag,1757,1757,1,,,,,0,0,15,1,TR-01,TR621,14045.56,1854270,2165595,NA,NA,1,1986
Adana,Ceyhan,Adana,Ceyhan,Adana,Ceyhan,1219,1219,1,,,,,0,0,15,1,TR-01,TR621,14045.56,1854270,2165595,NA,NA,1,1986
Adana,Çukurova,Adana,Cukurova,Adana,Seyhan,1104,2033,1,,03/22/08,Seyhan,1,0,1,15,1,TR-01,TR621,14045.56,1854270,2165595,NA,NA,1,1986
Adana,Feke,Adana,Feke,Adana,Feke,1329,1329,1,,,,,0,0,15,1,TR-01,TR621,14045.56,1854270,2165595,NA,NA,1,1986
Adana,İmamoğlu,Adana,Imamoglu,Adana,Imamoglu,1806,1806,1,,,,,0,0,15,1,TR-01,TR621,14045.56,1854270,2165595,NA,NA,1,1986
Adana,Karaisalı,Adana,Karaisali,Adana,Karaisali,1437,1437,1,,,,,0,0,15,1,TR-01,TR621,14045.56,1854270,2165595,NA,NA,1,1986
Adana,Karataş,Adana,Karatas,Adana,Karatas,1443,1443,1,,,,,0,0,15,1,TR-01,TR621,14045.56,1854270,2165595,NA,NA,1,1986
Adana,Kozan,Adana,Kozan,Adana,Kozan,1486,1486,1,,,,,0,0,15,1,TR-01,TR621,14045.56,1854270,2165595,NA,NA,1,1986
Adana,Pozantı,Adana,Pozanti,Adana,Pozanti,1580,1580,1,,,,,0,0,15,1,TR-01,TR621,14045.56,1854270,2165595,NA,NA,1,1986
Adana,Saimbeyli,Adana,Saimbeyli,Adana,Saimbeyli,1588,1588,1,,,,,0,0,15,1,TR-01,TR621,14045.56,1854270,2165595,NA,NA,1,1986
Adana,Sarıçam,Adana,Saricam,Adana,Yuregir,1748,2032,1,,03/22/08,Yüreğir,2,0,1,15,1,TR-01,TR621,14045.56,1854270,2165595,NA,NA,1,1986
Adana,Seyhan,Adana,Seyhan,Adana,Seyhan,1104,1104,1,,,,1,0,1,15,1,TR-01,TR621,14045.56,1854270,2165595,NA,NA,1,1986
Adana,Tufanbeyli,Adana,Tufanbeyli,Adana,Tufanbeyli,1687,1687,1,,,,,0,0,15,1,TR-01,TR621,14045.56,1854270,2165595,NA,NA,1,1986
Adana,Yumurtalık,Adana,Yumurtalik,Adana,Yumurtalik,1734,1734,1,,,,,0,0,15,1,TR-01,TR621,14045.56,1854270,2165595,NA,NA,1,1986
Adana,Yüreğir,Adana,Yuregir,Adana,Yuregir,1748,1748,1,,,,2,0,1,15,1,TR-01,TR621,14045.56,1854270,2165595,NA,NA,1,1986
Adıyaman,Besni,Adiyaman,Besni,Adiyaman,Besni,1182,1182,1,,,,,0,0,9,2,TR-02,TRC12,7606.16,623811,597835,NA,NA,0,NA
Adıyaman,Çelikhan,Adiyaman,Celikhan,Adiyaman,Celikhan,1246,1246,1,,,,,0,0,9,2,TR-02,TRC12,7606.16,623811,597835,NA,NA,0,NA
Adıyaman,Gerger,Adiyaman,Gerger,Adiyaman,Gerger,1347,1347,1,,,,,0,0,9,2,TR-02,TRC12,7606.16,623811,597835,NA,NA,0,NA
Adıyaman,Gölbaşı,Adiyaman,Golbasi,Adiyaman,Golbasi,1354,1354,1,,,,,0,0,9,2,TR-02,TRC12,7606.16,623811,597835,NA,NA,0,NA
Adıyaman,Kahta,Adiyaman,Kahta,Adiyaman,Kahta,1425,1425,1,,,,,0,0,9,2,TR-02,TRC12,7606.16,623811,597835,NA,NA,0,NA
Adıyaman,Merkez,Adiyaman,Merkez,Adiyaman,Merkez,1105,1105,1,,,,,0,0,9,2,TR-02,TRC12,7606.16,623811,597835,NA,NA,0,NA
Adıyaman,Samsat,Adiyaman,Samsat,Adiyaman,Samsat,1592,1592,1,,,,,0,0,9,2,TR-02,TRC12,7606.16,623811,597835,NA,NA,0,NA
Adıyaman,Sincik,Adiyaman,Sincik,Adiyaman,Sincik,1985,1985,1,,05/20/90,,,0,0,9,2,TR-02,TRC12,7606.16,623811,597835,NA,NA,0,NA
Adıyaman,Tut,Adiyaman,Tut,Adiyaman,Tut,1989,1989,1,,05/20/90,,,0,0,9,2,TR-02,TRC12,7606.16,623811,597835,NA,NA,0,NA
Afyonkarahisar,Başmakçı,Afyonkarahisar,Basmakci,Afyonkarahisar,Basmakci,1771,1771,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Bayat,Afyonkarahisar,Bayat,Afyonkarahisar,Bayat,1773,1773,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Bolvadin,Afyonkarahisar,Bolvadin,Afyonkarahisar,Bolvadin,1200,1200,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Çay,Afyonkarahisar,Cay,Afyonkarahisar,Cay,1239,1239,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Çobanlar,Afyonkarahisar,Cobanlar,Afyonkarahisar,Cobanlar,1906,1906,1,,05/20/90,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Dazkırı,Afyonkarahisar,Dazkiri,Afyonkarahisar,Dazkiri,1267,1267,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Dinar,Afyonkarahisar,Dinar,Afyonkarahisar,Dinar,1281,1281,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Emirdağ,Afyonkarahisar,Emirdag,Afyonkarahisar,Emirdag,1306,1306,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Evciler,Afyonkarahisar,Evciler,Afyonkarahisar,Evciler,1923,1923,1,,05/20/90,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Hocalar,Afyonkarahisar,Hocalar,Afyonkarahisar,Hocalar,1944,1944,1,,05/20/90,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,İhsaniye,Afyonkarahisar,Ihsaniye,Afyonkarahisar,Ihsaniye,1404,1404,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,İscehisar,Afyonkarahisar,Iscehisar,Afyonkarahisar,Iscehisar,1809,1809,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Kızılören,Afyonkarahisar,Kiziloren,Afyonkarahisar,Kiziloren,1961,1961,1,,05/20/90,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Merkez,Afyonkarahisar,Merkez,Afyonkarahisar,Merkez,1108,1108,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Sandıklı,Afyonkarahisar,Sandikli,Afyonkarahisar,Sandikli,1594,1594,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Sinanpaşa,Afyonkarahisar,Sinanpasa,Afyonkarahisar,Sinanpasa,1626,1626,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Şuhut,Afyonkarahisar,Suhut,Afyonkarahisar,Suhut,1664,1664,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Sultandağı,Afyonkarahisar,Sultandagi,Afyonkarahisar,Sultandagi,1639,1639,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Ağrı,Diyadin,Agri,Diyadin,Agri,Diyadin,1283,1283,1,,,,,0,0,8,4,TR-04,TRA21,11498.67,528744,549435,NA,NA,0,NA
Ağrı,Doğubayazıt,Agri,Dogubayazit,Agri,Dogubayazit,1287,1287,1,,,,,0,0,8,4,TR-04,TRA21,11498.67,528744,549435,NA,NA,0,NA
Ağrı,Eleşkirt,Agri,Eleskirt,Agri,Eleskirt,1301,1301,1,,,,,0,0,8,4,TR-04,TRA21,11498.67,528744,549435,NA,NA,0,NA
Ağrı,Hamur,Agri,Hamur,Agri,Hamur,1379,1379,1,,,,,0,0,8,4,TR-04,TRA21,11498.67,528744,549435,NA,NA,0,NA
Ağrı,Merkez,Agri,Merkez,Agri,Merkez,1111,1111,1,,,,,0,0,8,4,TR-04,TRA21,11498.67,528744,549435,NA,NA,0,NA
Ağrı,Patnos,Agri,Patnos,Agri,Patnos,1568,1568,1,,,,,0,0,8,4,TR-04,TRA21,11498.67,528744,549435,NA,NA,0,NA
Ağrı,Taşlıçay,Agri,Taslicay,Agri,Taslicay,1667,1667,1,,,,,0,0,8,4,TR-04,TRA21,11498.67,528744,549435,NA,NA,0,NA
Ağrı,Tutak,Agri,Tutak,Agri,Tutak,1691,1691,1,,,,,0,0,8,4,TR-04,TRA21,11498.67,528744,549435,NA,NA,0,NA
Aksaray,Ağaçören,Aksaray,Agacoren,Aksaray,Agacoren,1860,1860,1,,,,,0,0,8,68,TR-68,TR712,7965.51,396084,384252,Nigde,06/15/89,0,NA
Aksaray,Eskil,Aksaray,Eskil,Aksaray,Eskil,1921,1921,1,,05/20/90,,,0,0,8,68,TR-68,TR712,7965.51,396084,384252,Nigde,06/15/89,0,NA
Aksaray,Gülağaç,Aksaray,Gulagac,Aksaray,Gulagac,1932,1932,1,,05/20/90,,,0,0,8,68,TR-68,TR712,7965.51,396084,384252,Nigde,06/15/89,0,NA
